detailedoccupation,detailedname,majorgroup,minorgroup,broadgroup,majorname,minorname,broadname
31-9011,Massage Therapists,31-0000,31-9000,31-9010,Healthcare Support Occupations,Other Healthcare Support Occupations,Massage Therapists
31-9091,Dental Assistants,31-0000,31-9000,31-9090,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations
31-9092,Medical Assistants,31-0000,31-9000,31-9090,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations
31-9093,Medical Equipment Preparers,31-0000,31-9000,31-9090,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations
31-9094,Medical Transcriptionists,31-0000,31-9000,31-9090,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations
31-9095,Pharmacy Aides,31-0000,31-9000,31-9090,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,31-0000,31-9000,31-9090,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations
31-9097,Phlebotomists,31-0000,31-9000,31-9090,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations
31-9099,"Healthcare Support Workers, All Other",31-0000,31-9000,31-9090,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations
33-1011,First-Line Supervisors of Correctional Officers,33-0000,33-1000,33-1010,Protective Service Occupations,Supervisors of Protective Service Workers,First-Line Supervisors of Law Enforcement Workers
33-1012,First-Line Supervisors of Police and Detectives,33-0000,33-1000,33-1010,Protective Service Occupations,Supervisors of Protective Service Workers,First-Line Supervisors of Law Enforcement Workers
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,33-0000,33-1000,33-1020,Protective Service Occupations,Supervisors of Protective Service Workers,First-Line Supervisors of Fire Fighting and Prevention Workers
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",33-0000,33-1000,33-1090,Protective Service Occupations,Supervisors of Protective Service Workers,"Miscellaneous First-Line Supervisors, Protective Service Workers"
33-2011,Firefighters,33-0000,33-2000,33-2010,Protective Service Occupations,Fire Fighting and Prevention Workers,Firefighters
33-2021,Fire Inspectors and Investigators,33-0000,33-2000,33-2020,Protective Service Occupations,Fire Fighting and Prevention Workers,Fire Inspectors
33-2022,Forest Fire Inspectors and Prevention Specialists,33-0000,33-2000,33-2020,Protective Service Occupations,Fire Fighting and Prevention Workers,Fire Inspectors
33-3011,Bailiffs,33-0000,33-3000,33-3010,Protective Service Occupations,Law Enforcement Workers,"Bailiffs, Correctional Officers, and Jailers"
33-3012,Correctional Officers and Jailers,33-0000,33-3000,33-3010,Protective Service Occupations,Law Enforcement Workers,"Bailiffs, Correctional Officers, and Jailers"
33-3021,Detectives and Criminal Investigators,33-0000,33-3000,33-3020,Protective Service Occupations,Law Enforcement Workers,Detectives and Criminal Investigators
33-3031,Fish and Game Wardens,33-0000,33-3000,33-3030,Protective Service Occupations,Law Enforcement Workers,Fish and Game Wardens
33-3041,Parking Enforcement Workers,33-0000,33-3000,33-3040,Protective Service Occupations,Law Enforcement Workers,Parking Enforcement Workers
33-3051,Police and Sheriff's Patrol Officers,33-0000,33-3000,33-3050,Protective Service Occupations,Law Enforcement Workers,Police Officers
33-3052,Transit and Railroad Police,33-0000,33-3000,33-3050,Protective Service Occupations,Law Enforcement Workers,Police Officers
33-9011,Animal Control Workers,33-0000,33-9000,33-9010,Protective Service Occupations,Other Protective Service Workers,Animal Control Workers
33-9021,Private Detectives and Investigators,33-0000,33-9000,33-9020,Protective Service Occupations,Other Protective Service Workers,Private Detectives and Investigators
33-9031,Gaming Surveillance Officers and Gaming Investigators,33-0000,33-9000,33-9030,Protective Service Occupations,Other Protective Service Workers,Security Guards and Gaming Surveillance Officers
33-9032,Security Guards,33-0000,33-9000,33-9030,Protective Service Occupations,Other Protective Service Workers,Security Guards and Gaming Surveillance Officers
33-9091,Crossing Guards,33-0000,33-9000,33-9090,Protective Service Occupations,Other Protective Service Workers,Miscellaneous Protective Service Workers
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-0000,33-9000,33-9090,Protective Service Occupations,Other Protective Service Workers,Miscellaneous Protective Service Workers
33-9093 ,Transportation Security Screeners,33-0000,33-9000,33-9090,Protective Service Occupations,Other Protective Service Workers,Miscellaneous Protective Service Workers
33-9099,"Protective Service Workers, All Other",33-0000,33-9000,33-9090,Protective Service Occupations,Other Protective Service Workers,Miscellaneous Protective Service Workers
35-1011,Chefs and Head Cooks,35-0000,35-1000,35-1010,Food Preparation and Serving Related Occupations,Supervisors of Food Preparation and Serving Workers,Supervisors of Food Preparation and Serving Workers
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,35-0000,35-1000,35-1010,Food Preparation and Serving Related Occupations,Supervisors of Food Preparation and Serving Workers,Supervisors of Food Preparation and Serving Workers
35-2011,"Cooks, Fast Food",35-0000,35-2000,35-2010,Food Preparation and Serving Related Occupations,Cooks and Food Preparation Workers,Cooks
35-2012,"Cooks, Institution and Cafeteria",35-0000,35-2000,35-2010,Food Preparation and Serving Related Occupations,Cooks and Food Preparation Workers,Cooks
35-2013,"Cooks, Private Household",35-0000,35-2000,35-2010,Food Preparation and Serving Related Occupations,Cooks and Food Preparation Workers,Cooks
35-2014,"Cooks, Restaurant",35-0000,35-2000,35-2010,Food Preparation and Serving Related Occupations,Cooks and Food Preparation Workers,Cooks
35-2015,"Cooks, Short Order",35-0000,35-2000,35-2010,Food Preparation and Serving Related Occupations,Cooks and Food Preparation Workers,Cooks
35-2019,"Cooks, All Other",35-0000,35-2000,35-2010,Food Preparation and Serving Related Occupations,Cooks and Food Preparation Workers,Cooks
35-2021,Food Preparation Workers,35-0000,35-2000,35-2020,Food Preparation and Serving Related Occupations,Cooks and Food Preparation Workers,Food Preparation Workers
35-3011,Bartenders,35-0000,35-3000,35-3010,Food Preparation and Serving Related Occupations,Food and Beverage Serving Workers,Bartenders
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",35-0000,35-3000,35-3020,Food Preparation and Serving Related Occupations,Food and Beverage Serving Workers,Fast Food and Counter Workers
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-0000,35-3000,35-3020,Food Preparation and Serving Related Occupations,Food and Beverage Serving Workers,Fast Food and Counter Workers
35-3031,Waiters and Waitresses,35-0000,35-3000,35-3030,Food Preparation and Serving Related Occupations,Food and Beverage Serving Workers,Waiters and Waitresses
35-3041,"Food Servers, Nonrestaurant",35-0000,35-3000,35-3040,Food Preparation and Serving Related Occupations,Food and Beverage Serving Workers,"Food Servers, Nonrestaurant"
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,35-0000,35-9000,35-9010,Food Preparation and Serving Related Occupations,Other Food Preparation and Serving Related Workers,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9021,Dishwashers,35-0000,35-9000,35-9020,Food Preparation and Serving Related Occupations,Other Food Preparation and Serving Related Workers,Dishwashers
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-0000,35-9000,35-9030,Food Preparation and Serving Related Occupations,Other Food Preparation and Serving Related Workers,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-9099,"Food Preparation and Serving Related Workers, All Other",35-0000,35-9000,35-9090,Food Preparation and Serving Related Occupations,Other Food Preparation and Serving Related Workers,Miscellaneous Food Preparation and Serving Related Workers
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,37-0000,37-1000,37-1010,Building and Grounds Cleaning and Maintenance Occupations,Supervisors of Building and Grounds Cleaning and Maintenance Workers,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-0000,37-1000,37-1010,Building and Grounds Cleaning and Maintenance Occupations,Supervisors of Building and Grounds Cleaning and Maintenance Workers,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-0000,37-2000,37-2010,Building and Grounds Cleaning and Maintenance Occupations,Building Cleaning and Pest Control Workers,Building Cleaning Workers
37-2012,Maids and Housekeeping Cleaners,37-0000,37-2000,37-2010,Building and Grounds Cleaning and Maintenance Occupations,Building Cleaning and Pest Control Workers,Building Cleaning Workers
37-2019,"Building Cleaning Workers, All Other",37-0000,37-2000,37-2010,Building and Grounds Cleaning and Maintenance Occupations,Building Cleaning and Pest Control Workers,Building Cleaning Workers
37-2021,Pest Control Workers,37-0000,37-2000,37-2020,Building and Grounds Cleaning and Maintenance Occupations,Building Cleaning and Pest Control Workers,Pest Control Workers
37-3011,Landscaping and Groundskeeping Workers,37-0000,37-3000,37-3010,Building and Grounds Cleaning and Maintenance Occupations,Grounds Maintenance Workers,Grounds Maintenance Workers
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-0000,37-3000,37-3010,Building and Grounds Cleaning and Maintenance Occupations,Grounds Maintenance Workers,Grounds Maintenance Workers
37-3013,Tree Trimmers and Pruners,37-0000,37-3000,37-3010,Building and Grounds Cleaning and Maintenance Occupations,Grounds Maintenance Workers,Grounds Maintenance Workers
37-3019,"Grounds Maintenance Workers, All Other",37-0000,37-3000,37-3010,Building and Grounds Cleaning and Maintenance Occupations,Grounds Maintenance Workers,Grounds Maintenance Workers
39-1011,Gaming Supervisors,39-0000,39-1000,39-1010,Personal Care and Service Occupations,Supervisors of Personal Care and Service Workers,First-Line Supervisors of Gaming Workers
39-1012,Slot Supervisors,39-0000,39-1000,39-1010,Personal Care and Service Occupations,Supervisors of Personal Care and Service Workers,First-Line Supervisors of Gaming Workers
39-1021,First-Line Supervisors of Personal Service Workers,39-0000,39-1000,39-1020,Personal Care and Service Occupations,Supervisors of Personal Care and Service Workers,First-Line Supervisors of Personal Service Workers
39-2011,Animal Trainers,39-0000,39-2000,39-2010,Personal Care and Service Occupations,Animal Care and Service Workers,Animal Trainers
39-2021,Nonfarm Animal Caretakers,39-0000,39-2000,39-2020,Personal Care and Service Occupations,Animal Care and Service Workers,Nonfarm Animal Caretakers
39-3011,Gaming Dealers,39-0000,39-3000,39-3010,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Gaming Services Workers
39-3012,Gaming and Sports Book Writers and Runners,39-0000,39-3000,39-3010,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Gaming Services Workers
39-3019,"Gaming Service Workers, All Other",39-0000,39-3000,39-3010,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Gaming Services Workers
39-3021,Motion Picture Projectionists,39-0000,39-3000,39-3020,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Motion Picture Projectionists
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",39-0000,39-3000,39-3030,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,"Ushers, Lobby Attendants, and Ticket Takers"
39-3091,Amusement and Recreation Attendants,39-0000,39-3000,39-3090,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Miscellaneous Entertainment Attendants and Related Workers
39-3092,Costume Attendants,39-0000,39-3000,39-3090,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Miscellaneous Entertainment Attendants and Related Workers
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",39-0000,39-3000,39-3090,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Miscellaneous Entertainment Attendants and Related Workers
39-3099,"Entertainment Attendants and Related Workers, All Other",39-0000,39-3000,39-3090,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Miscellaneous Entertainment Attendants and Related Workers
39-4011,Embalmers,39-0000,39-4000,39-4010,Personal Care and Service Occupations,Funeral Service Workers,Embalmers
39-4021,Funeral Attendants,39-0000,39-4000,39-4020,Personal Care and Service Occupations,Funeral Service Workers,Funeral Attendants
39-4031,"Morticians, Undertakers, and Funeral Directors",39-0000,39-4000,39-4030,Personal Care and Service Occupations,Funeral Service Workers,"Morticians, Undertakers, and Funeral Directors"
39-5011,Barbers,39-0000,39-5000,39-5010,Personal Care and Service Occupations,Personal Appearance Workers,"Barbers, Hairdressers, Hairstylists and Cosmetologists"
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",39-0000,39-5000,39-5010,Personal Care and Service Occupations,Personal Appearance Workers,"Barbers, Hairdressers, Hairstylists and Cosmetologists"
39-5091,"Makeup Artists, Theatrical and Performance",39-0000,39-5000,39-5090,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers
39-5092,Manicurists and Pedicurists,39-0000,39-5000,39-5090,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers
39-5093,Shampooers,39-0000,39-5000,39-5090,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers
39-5094,Skincare Specialists,39-0000,39-5000,39-5090,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers
39-6011,Baggage Porters and Bellhops,39-0000,39-6000,39-6010,Personal Care and Service Occupations,"Baggage Porters, Bellhops, and Concierges","Baggage Porters, Bellhops, and Concierges"
39-6012,Concierges,39-0000,39-6000,39-6010,Personal Care and Service Occupations,"Baggage Porters, Bellhops, and Concierges","Baggage Porters, Bellhops, and Concierges"
39-7011,Tour Guides and Escorts,39-0000,39-7000,39-7010,Personal Care and Service Occupations,Tour and Travel Guides,Tour and Travel Guides
39-7012,Travel Guides,39-0000,39-7000,39-7010,Personal Care and Service Occupations,Tour and Travel Guides,Tour and Travel Guides
39-9011,Childcare Workers,39-0000,39-9000,39-9010,Personal Care and Service Occupations,Other Personal Care and Service Workers,Childcare Workers
39-9021,Personal Care Aides,39-0000,39-9000,39-9020,Personal Care and Service Occupations,Other Personal Care and Service Workers,Personal Care Aides
39-9031,Fitness Trainers and Aerobics Instructors,39-0000,39-9000,39-9030,Personal Care and Service Occupations,Other Personal Care and Service Workers,Recreation and Fitness Workers
39-9032,Recreation Workers,39-0000,39-9000,39-9030,Personal Care and Service Occupations,Other Personal Care and Service Workers,Recreation and Fitness Workers
39-9041,Residential Advisors,39-0000,39-9000,39-9040,Personal Care and Service Occupations,Other Personal Care and Service Workers,Residential Advisors
39-9099,"Personal Care and Service Workers, All Other",39-0000,39-9000,39-9090,Personal Care and Service Occupations,Other Personal Care and Service Workers,Miscellaneous Personal Care and Service Workers
41-1011,First-Line Supervisors of Retail Sales Workers,41-0000,41-1000,41-1010,Sales and Related Occupations,Supervisors of Sales Workers,First-Line Supervisors of Sales Workers
41-1012,First-Line Supervisors of Non-Retail Sales Workers,41-0000,41-1000,41-1010,Sales and Related Occupations,Supervisors of Sales Workers,First-Line Supervisors of Sales Workers
41-2011,Cashiers,41-0000,41-2000,41-2010,Sales and Related Occupations,Retail Sales Workers,Cashiers
41-2012,Gaming Change Persons and Booth Cashiers,41-0000,41-2000,41-2010,Sales and Related Occupations,Retail Sales Workers,Cashiers
41-2021,Counter and Rental Clerks,41-0000,41-2000,41-2020,Sales and Related Occupations,Retail Sales Workers,Counter and Rental Clerks and Parts Salespersons
41-2022,Parts Salespersons,41-0000,41-2000,41-2020,Sales and Related Occupations,Retail Sales Workers,Counter and Rental Clerks and Parts Salespersons
41-2031,Retail Salespersons,41-0000,41-2000,41-2030,Sales and Related Occupations,Retail Sales Workers,Retail Salespersons
41-3011,Advertising Sales Agents,41-0000,41-3000,41-3010,Sales and Related Occupations,"Sales Representatives, Services",Advertising Sales Agents
41-3021,Insurance Sales Agents,41-0000,41-3000,41-3020,Sales and Related Occupations,"Sales Representatives, Services",Insurance Sales Agents
41-3031,"Securities, Commodities, and Financial Services Sales Agents",41-0000,41-3000,41-3030,Sales and Related Occupations,"Sales Representatives, Services","Securities, Commodities, and Financial Services Sales Agents"
41-3041,Travel Agents,41-0000,41-3000,41-3040,Sales and Related Occupations,"Sales Representatives, Services",Travel Agents
41-3099,"Sales Representatives, Services, All Other",41-0000,41-3000,41-3090,Sales and Related Occupations,"Sales Representatives, Services","Miscellaneous Sales Representatives, Services"
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-0000,41-4000,41-4010,Sales and Related Occupations,"Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing"
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-0000,41-4000,41-4010,Sales and Related Occupations,"Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing"
41-9011,Demonstrators and Product Promoters,41-0000,41-9000,41-9010,Sales and Related Occupations,Other Sales and Related Workers,"Models, Demonstrators, and Product Promoters"
41-9012,Models,41-0000,41-9000,41-9010,Sales and Related Occupations,Other Sales and Related Workers,"Models, Demonstrators, and Product Promoters"
41-9021,Real Estate Brokers,41-0000,41-9000,41-9020,Sales and Related Occupations,Other Sales and Related Workers,Real Estate Brokers and Sales Agents
41-9022,Real Estate Sales Agents,41-0000,41-9000,41-9020,Sales and Related Occupations,Other Sales and Related Workers,Real Estate Brokers and Sales Agents
41-9031,Sales Engineers,41-0000,41-9000,41-9030,Sales and Related Occupations,Other Sales and Related Workers,Sales Engineers
41-9041,Telemarketers,41-0000,41-9000,41-9040,Sales and Related Occupations,Other Sales and Related Workers,Telemarketers
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-0000,41-9000,41-9090,Sales and Related Occupations,Other Sales and Related Workers,Miscellaneous Sales and Related Workers
41-9099,"Sales and Related Workers, All Other",41-0000,41-9000,41-9090,Sales and Related Occupations,Other Sales and Related Workers,Miscellaneous Sales and Related Workers
43-1011,First-Line Supervisors of Office and Administrative Support Workers,43-0000,43-1000,43-1010,Office and Administrative Support Occupations,Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office and Administrative Support Workers
43-2011,"Switchboard Operators, Including Answering Service",43-0000,43-2000,43-2010,Office and Administrative Support Occupations,Communications Equipment Operators,"Switchboard Operators, Including Answering Service"
43-2021,Telephone Operators,43-0000,43-2000,43-2020,Office and Administrative Support Occupations,Communications Equipment Operators,Telephone Operators
43-2099,"Communications Equipment Operators, All Other",43-0000,43-2000,43-2090,Office and Administrative Support Occupations,Communications Equipment Operators,Miscellaneous Communications Equipment Operators
43-3011,Bill and Account Collectors,43-0000,43-3000,43-3010,Office and Administrative Support Occupations,Financial Clerks,Bill and Account Collectors
43-3021,Billing and Posting Clerks,43-0000,43-3000,43-3020,Office and Administrative Support Occupations,Financial Clerks,Billing and Posting Clerks
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",43-0000,43-3000,43-3030,Office and Administrative Support Occupations,Financial Clerks,"Bookkeeping, Accounting, and Auditing Clerks"
43-3041,Gaming Cage Workers,43-0000,43-3000,43-3040,Office and Administrative Support Occupations,Financial Clerks,Gaming Cage Workers
43-3051,Payroll and Timekeeping Clerks,43-0000,43-3000,43-3050,Office and Administrative Support Occupations,Financial Clerks,Payroll and Timekeeping Clerks
43-3061,Procurement Clerks,43-0000,43-3000,43-3060,Office and Administrative Support Occupations,Financial Clerks,Procurement Clerks
43-3071,Tellers,43-0000,43-3000,43-3070,Office and Administrative Support Occupations,Financial Clerks,Tellers
43-3099 ,"Financial Clerks, All Other",43-0000,43-3000,43-3090,Office and Administrative Support Occupations,Financial Clerks,Miscellaneous Financial Clerks
43-4011,Brokerage Clerks,43-0000,43-4000,43-4010,Office and Administrative Support Occupations,Information and Record Clerks,Brokerage Clerks
43-4021,Correspondence Clerks,43-0000,43-4000,43-4020,Office and Administrative Support Occupations,Information and Record Clerks,Correspondence Clerks
43-4031,"Court, Municipal, and License Clerks",43-0000,43-4000,43-4030,Office and Administrative Support Occupations,Information and Record Clerks,"Court, Municipal, and License Clerks"
43-4041,"Credit Authorizers, Checkers, and Clerks",43-0000,43-4000,43-4040,Office and Administrative Support Occupations,Information and Record Clerks,"Credit Authorizers, Checkers, and Clerks"
43-4051,Customer Service Representatives,43-0000,43-4000,43-4050,Office and Administrative Support Occupations,Information and Record Clerks,Customer Service Representatives
43-4061,"Eligibility Interviewers, Government Programs",43-0000,43-4000,43-4060,Office and Administrative Support Occupations,Information and Record Clerks,"Eligibility Interviewers, Government Programs"
43-4071,File Clerks,43-0000,43-4000,43-4070,Office and Administrative Support Occupations,Information and Record Clerks,File Clerks
43-4081,"Hotel, Motel, and Resort Desk Clerks",43-0000,43-4000,43-4080,Office and Administrative Support Occupations,Information and Record Clerks,"Hotel, Motel, and Resort Desk Clerks"
43-4111,"Interviewers, Except Eligibility and Loan",43-0000,43-4000,43-4110,Office and Administrative Support Occupations,Information and Record Clerks,"Interviewers, Except Eligibility and Loan"
43-4121,"Library Assistants, Clerical",43-0000,43-4000,43-4120,Office and Administrative Support Occupations,Information and Record Clerks,"Library Assistants, Clerical"
43-4131,Loan Interviewers and Clerks,43-0000,43-4000,43-4130,Office and Administrative Support Occupations,Information and Record Clerks,Loan Interviewers and Clerks
43-4141,New Accounts Clerks,43-0000,43-4000,43-4140,Office and Administrative Support Occupations,Information and Record Clerks,New Accounts Clerks
43-4151,Order Clerks,43-0000,43-4000,43-4150,Office and Administrative Support Occupations,Information and Record Clerks,Order Clerks
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",43-0000,43-4000,43-4160,Office and Administrative Support Occupations,Information and Record Clerks,"Human Resources Assistants, Except Payroll and Timekeeping"
43-4171,Receptionists and Information Clerks,43-0000,43-4000,43-4170,Office and Administrative Support Occupations,Information and Record Clerks,Receptionists and Information Clerks
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,43-0000,43-4000,43-4180,Office and Administrative Support Occupations,Information and Record Clerks,Reservation and Transportation Ticket Agents and Travel Clerks
43-4199,"Information and Record Clerks, All Other",43-0000,43-4000,43-4190,Office and Administrative Support Occupations,Information and Record Clerks,Miscellaneous Information and Record Clerks
43-5011,Cargo and Freight Agents,43-0000,43-5000,43-5010,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Cargo and Freight Agents
43-5021,Couriers and Messengers,43-0000,43-5000,43-5020,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Couriers and Messengers
43-5031,"Police, Fire, and Ambulance Dispatchers",43-0000,43-5000,43-5030,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Dispatchers
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",43-0000,43-5000,43-5030,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Dispatchers
43-5041,"Meter Readers, Utilities",43-0000,43-5000,43-5040,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Meter Readers, Utilities"
43-5051,Postal Service Clerks,43-0000,43-5000,43-5050,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Postal Service Workers
43-5052,Postal Service Mail Carriers,43-0000,43-5000,43-5050,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Postal Service Workers
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-0000,43-5000,43-5050,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Postal Service Workers
43-5061,"Production, Planning, and Expediting Clerks",43-0000,43-5000,43-5060,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Production, Planning, and Expediting Clerks"
43-5071,"Shipping, Receiving, and Traffic Clerks",43-0000,43-5000,43-5070,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Shipping, Receiving, and Traffic Clerks"
43-5081,Stock Clerks and Order Fillers,43-0000,43-5000,43-5080,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Stock Clerks and Order Fillers
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-0000,43-5000,43-5110,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
43-6011,Executive Secretaries and Executive Administrative Assistants,43-0000,43-6000,43-6010,Office and Administrative Support Occupations,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants
43-6012,Legal Secretaries,43-0000,43-6000,43-6010,Office and Administrative Support Occupations,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants
43-6013,Medical Secretaries,43-0000,43-6000,43-6010,Office and Administrative Support Occupations,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-0000,43-6000,43-6010,Office and Administrative Support Occupations,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants
43-9011,Computer Operators,43-0000,43-9000,43-9010,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,Computer Operators
43-9021,Data Entry Keyers,43-0000,43-9000,43-9020,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,Data Entry and Information Processing Workers
43-9022,Word Processors and Typists,43-0000,43-9000,43-9020,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,Data Entry and Information Processing Workers
43-9031,Desktop Publishers,43-0000,43-9000,43-9030,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,Desktop Publishers
43-9041,Insurance Claims and Policy Processing Clerks,43-0000,43-9000,43-9040,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,Insurance Claims and Policy Processing Clerks
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-0000,43-9000,43-9050,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,"Mail Clerks and Mail Machine Operators, Except Postal Service"
43-9061,"Office Clerks, General",43-0000,43-9000,43-9060,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,"Office Clerks, General"
43-9071,"Office Machine Operators, Except Computer",43-0000,43-9000,43-9070,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,"Office Machine Operators, Except Computer"
43-9081,Proofreaders and Copy Markers,43-0000,43-9000,43-9080,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,Proofreaders and Copy Markers
43-9111,Statistical Assistants,43-0000,43-9000,43-9110,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,Statistical Assistants
43-9199,"Office and Administrative Support Workers, All Other",43-0000,43-9000,43-9190,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,Miscellaneous Office and Administrative Support Workers
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-0000,45-1000,45-1010,"Farming, Fishing, and Forestry Occupations","Supervisors of Farming, Fishing, and Forestry Workers","First-Line Supervisors of Farming, Fishing, and Forestry Workers"
45-2011,Agricultural Inspectors,45-0000,45-2000,45-2010,"Farming, Fishing, and Forestry Occupations",Agricultural Workers,Agricultural Inspectors
45-2021,Animal Breeders,45-0000,45-2000,45-2020,"Farming, Fishing, and Forestry Occupations",Agricultural Workers,Animal Breeders
45-2041,"Graders and Sorters, Agricultural Products",45-0000,45-2000,45-2040,"Farming, Fishing, and Forestry Occupations",Agricultural Workers,"Graders and Sorters, Agricultural Products"
45-2091,Agricultural Equipment Operators,45-0000,45-2000,45-2090,"Farming, Fishing, and Forestry Occupations",Agricultural Workers,Miscellaneous Agricultural Workers
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-0000,45-2000,45-2090,"Farming, Fishing, and Forestry Occupations",Agricultural Workers,Miscellaneous Agricultural Workers
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",45-0000,45-2000,45-2090,"Farming, Fishing, and Forestry Occupations",Agricultural Workers,Miscellaneous Agricultural Workers
